nome,luogo di nascita,data di nascita,secolo
Abbondanzio,,Verso la meta del 300,300
Adelgiso,,Prima meta dell'800,800
Adelpreto,,Fine dell'XI secolo,1000
Adeodato I,,Seconda meta del 400,400
Agnello,,Prima meta del 500,500
Alberti Lutti Francesca,,,
Alberto di Ortenburg,Ortenburg (Carinzia),Prima meta del 1300,1300
Aldrighetto di Campo,Campo (Valli Giudicarie),A cavallo tra il 1100 e il 1200,1200
Alessandro,,,
Alessandro Maria Gottardi,Venezia,30 aprile 1912,1912
Amatore,,Seconda meta del 700,700
Ammiano Marcellino,,,
Antonio Domenico Wolkenstein,,29 gennaio 1662,1662
Arcangeli Maurizio,Montecosaro (Macerata),1959,1959
Arnaldo,,Prima meta del 900,900
Aspidio,,Fine del 300,300
Attone,,Prima meta dell'XI secolo,1000
Bacchi Egidio,,,
Baldessari Luciano,,,
Barbacovi Francesco Vigilio,,,
Bartolomeo da Trento,,,
Battisti Cesare, (Trento),4 febbraio 1875,1875
Bazzanella Emanuele,,,
Belenzani Rodolfo,,,
Benedetto da Trento,,,
Berebgario I,,,
Bernardo Clesio,Cles,12 marzo 1485,1485
Bertanza Giovanni,,,
Bettineschi Mariella,Brescia,1948,1948
Bonacina Carlo,Mestrino,29/09/1905,29091905
Bonelli Benedetto,,,
Bonporti Francesco Antonio, (Trento),1672,1672
Borsieri Giovanni Battista,,,
Brugnara Luigi,,,
Cainelli Carlo,Rovereto,23/05/1896,23051896
Canestrini Giovanni,Revo,1835,1835
Carbonari,,,
Carlo De Ferrari,Montechiaro (Val Venosta),2 ottobre 1885,1885
Carlo Gaudenzio Madruzzo,Castello d'Issogne (Val d'Aosta),1562,1562
Carlo Magno,,,
Carlo VI,,,
Cassiodoro,,,
Celestino Endrici,Don,14 marzo 1866,1866
Chiari Giuseppe,Firenze,1926,1926
Chini Eusebio Francesco,Segno,1645,1645
Ciani Giovanni,,,
Civettini Luciano, (Trento),1967,1967
Claudiano,,Seconda meta del 300,300
Cobelli Giovanni,,,
Colorio Bruno, (Trento),1911,1911
Conci Enrico, (Trento),1866,1866
Corrado,,Seconda meta dell'800,800
Corrado II,,,
Costanzo,,,
Credaro Luigi,,,
Cristoforo Sizzo de Noris, (Trento),19 agosto 1706,1706
Dalla Bona Vittorio,,,
Daniele,,Seconda meta del 700 ,700
de Gaspari Gianbattista,,,
de Unterrichter Guido,,,
Degasperi Alcide,Pieve Tesino (Trento),3 aprile 1881,1881
degli Avanzi Aurelia,,,
Depero Fortunato,Fondo,1892,1892
Diaz Armando,,,
Disertori Benvenuto, (Trento),1887,1887
Domenico,,A cavallo tra il 500 e il 600,600
Dominatore,,Prima meta del 700,700
D'Ottavi Corrado,Roma,14/08/1934,14081934
Eberardo,,A cavallo tra l'XI e il XII secolo,1100
Emanuele Maria Thun, (Trento),28 marzo 1763,1763
Emert Giulio Benedetto, (Trento),25/03/1894,25031894
Enrico I,,Prima meta dell'XI secolo,1000
Enrico II,,Prima meta del 1200,1200
Ernesto Adalberto d'Harrach,,anno 1598,1598
Eugenio Carlo Valussi,Talmassons (Udine),10 febbraio 1837,1837
Evino,,,
Falzolgher Nedda,,,
Federico di Vanga,,Seconda meta del 1100,1100
Federico IV Tascavuota,,,
Ferdinando Carlo,,,
Ferdinando I,,,
Ferdinando II,,,
Festi Lorenzo,,,
Filzi Fabio,,,
Fontana Gregorio,,,
Foschi Italo,,,
Francesco Alberti Poia, (Trento),22 maggio 1610,1610
Francesco Giuseppe d'Asburgo-Lorena,,,
Francesco Leonardi,Vo' di Avio,08/01/1840,8011840
Frapporti Francesco,,,
Furnival John,Londra,1933,1933
Galante Andrea,,,
Gar Tommaso,,,
Garbari Tullio,Pergine Valsugana,14/08/1892,14081892
Gebardo,,Seconda meta dell'XI secolo,1000
Gentilotti Benedetto,,,
Gerardo da Manhac,Manhac,A cavallo tra il 1200 e il 1300,1300
Gerola Gino,Terragnolo,1923,1923
Gervaso,,,
Giacomo,,Seconda meta dell'800,800
Gianferrari,,,
Giano Pirro Pincio,,,
Giolitti Giovanni,,,
Giorgio Hack,,A cavallo tra il 1300 e il 1400,1400
Giovan Battista Ferrari,Brescia,13 ottobre 1829,1829
Giovanna Maria della Croce,,,
Giovanni Battista Trener,Fiera di Primiero,07/01/1877,7011877
Giovanni da Isny,,,
Giovanni Giacomo Della Bona,Gorizia,18 novembre 1814,1814
Giovanni I,,A cavallo tra il 600 e il 700,700
Giovanni Maria Sartori,Vicenza,11 luglio 1925,1925
Giovanni Nepomuceno de Tschiderer,Bolzano,15 aprile 1777,1777
Giovino,,IV secolo,300
Giulio III,,,
Giuseppe Sebesta, (Trento),24/07/1919,24071919
Giustiniano,,,
Gratismo,,Prima meta del 500,500
Gregorio I,,,
Gschnitzer Franz,,,
Guetti Lorenzo,Vigo Lomaso,06/02/1847,6021847
Hafner Giovanni,,,
Halbherr Federico,Rovereto,20/2/1857,2021857
Hofer Andreas,,,
Imbriani Matteo Renato,,,
Innocenti Silvio,,,
Isgro' Emilio,Barcellona (Messina),1937,1937
Kessler Bruno,,,
Lantramno,,Inizio del 900,900
Lasta Attilio,Villalagarina,27/04/1886,27041886
Leonardi Celestino,,,
Leopoldo I,,,
Libera Adalberto,Villa Lagarina,16 luglio 1903,1903
Lotario,,,
Ludovico il Pio,,,
Luigi Bressan,Sarche,9 febbraio 1940,1940
Lutero Martin,,,
Maguriano,,Seconda meta del 400,400
Mainardo di Neuhaus,,Prima meta del 1300,1300
Mainardo III,,,
Malfatti Bartolomeo,,,
Mammone,,Prima meta del 700,700
Manasse II,Arles,A cavallo tra l'800 e il 900,900
Manci Sigismondo,,,
Marchetti Giacomo,,,
Marco Pola,Roncegno (Trento),29 agosto 1906,1906
Maria Teresa,,,
Mariano,,Prima meta del 700,700
Mario Pasi,Ravenna,21/07/1913,21071913
Martini Martino, (Trento),1614,1614
Marzani Gino,,,
Massimilano II,,,
Massimino,,A cavallo tra il 600 e il 700,700
Maurizio,,,
Melotti Fausto,Rovereto,1901,1901
Mendini Bruno,,,
Menguzzato Clorinda,,,
Montano,,Seconda meta del 400,400
Munari Bruno, (Milano),24/10/1907,24101907
Mussolini Benito,,,
Negrelli Luigi,Fiera di Primiero,23 gennaio 1799,1799
Nicolo Alreim da Brno,,,
Nicolo da Brno,Brno (Moravia) ,A cavallo tra il 1200 e il 1300,1300
Nitti Saverio,,,
Oberdan Guglielmo,,,
Oberinzer Ludovico,,,
Odoacre,,,
Onestinghel Gino,,,
Orsi Paolo,,,
Oss Mazzurana Paolo,,,
Ottolini Giuseppe,,,
Pancheri Gino, (Trento),23/08/1905,23081905
Panizza Augusto,,,
Paolo III,,,
Paride Lodron,Castel Noarna (Trento),13 febbraio 1586,1586
Pecori-Giraldi Guglielmo,,,
Pedrotti Pietro,Rovereto,04/08/1875,4081875
Pellegrino,,Prima meta del 500,500
Perini Ivo,,,
Pervardo,,Prima meta dell'XI secolo,1000
Piccolomini Enea Silvio,,,
Pietro Vigilio Thun, (Trento),13 dicembre 1724,1724
Piscel Antonio,,,
Polo Guido,Borgo Valsugana,1898,1898
Prati Giovanni,,,
Protaso,,,
Quartino,,Prima meta del 500,500
Raab Julius,,,
Rainoardo,,Intorno alla meta del 900,900
Reich Desiderio,,,
Riccabona Vittorio de,,,
Ricci Vittore,,,
Roberto da Sanseverino,,,
Rodolfo IV d'Asburgo,,,
Romanino (Girolamo Romani),,,
Romolo Augustolo,,,
Rossi Emiliano,,,
Ruperto,,,
Salomone,,Prima meta del 1100,1100
Salvotti Antonio,,,
Sambazio,,A cavallo fra il 300 e il 400,400
Sandri Giovanna,Roma,1923,1923
Scalfaro Oscar Luigi,,,
Scelba Mario,,,
Scotoni Mario,,,
Segarizzi Arnaldo,Avio,10/08/1872,10081872
Sigismondo Alfonso Thun,Castel Thun,7 novembre 1621,1621
Sigismondo Francesco di Austria,Innsbruck,28 novembre 1630,1630
Sisedizio,,Seconda meta del 600,600
Sodegerio da Tito,,,
Staccioli Mauro,Volterra (Pisa),11/02/1937,11021937
Stefano da Cles,,,
Tambosi Giovanni Battista,,,
Tartarotti Girolamo,,,
Teodorico,,,
Thun Franz,,,
Tiberino Gian Maria,,,
Togliatti Palmiro,,,
Tovazzi Gian Grisostomo,,,
Turrini Giuseppe,Avio,5 aprile 1826,1826
Udalrico di Lichtenstein,,Prima meta del 1400,1400
Udalrico I,,Seconda meta del 900,900
Ulrico di Scena,,,
Valentino,,A cavallo fra il 300 e il 400,400
Vannetti Clementino,,,
Verecondo,,Verso la seconda meta del 600,600
Vincenti Carlo,Viterbo,23/11/1946,23111946
Vitale II,,Verso la meta del 600,600
von Felbger Johan Ignaz,,,
Wolkenstein Teobaldo,,,
Zanini Luigi  detto Gigiotti,Vigo di Fassa,1893,1893
Zotti Raffaele,,,
